,start,end,energy(J)
303,2017-12-07 18:32:43,2017-12-07 20:02:27,8761714.283062529
304,2017-12-07 21:51:25,2017-12-07 22:36:20,5411408.800396587
305,2017-12-08 06:52:07,2017-12-08 07:33:41,2392379.5243669837
306,2017-12-08 08:09:52,2017-12-08 08:18:44,850997.0738300357
307,2017-12-08 09:24:52,2017-12-08 09:34:27,889325.0298557908
308,2017-12-08 17:44:52,2017-12-08 19:19:51,4162774.5959637156
309,2017-12-08 21:47:36,2017-12-08 21:56:56,851645.5058799608
310,2017-12-09 05:25:49,2017-12-09 10:05:14,133108646.084775
311,2017-12-11 18:32:43,2017-12-11 19:10:47,1986225.257190983
312,2017-12-11 20:17:07,2017-12-11 21:17:01,4317347.479830792
313,2017-12-12 06:44:14,2017-12-12 06:47:43,170774.0740740742
314,2017-12-12 07:20:57,2017-12-12 07:33:32,707000.17263034
315,2017-12-12 09:03:28,2017-12-12 09:14:17,950646.041508989
316,2017-12-12 19:10:30,2017-12-12 19:32:08,1799296.154265926
317,2017-12-12 23:27:09,2017-12-12 23:40:27,1063915.7831212666
318,2017-12-13 07:23:01,2017-12-13 08:34:55,8203650.366100876
319,2017-12-13 09:39:32,2017-12-13 09:44:43,301216.99030274514
320,2017-12-13 19:05:16,2017-12-13 21:11:03,8733201.212855073
321,2017-12-14 08:52:36,2017-12-14 09:04:24,985518.6589495683
322,2017-12-14 12:39:45,2017-12-14 14:00:57,7987892.776354079
323,2017-12-14 18:45:24,2017-12-14 18:59:10,920447.7245418753
324,2017-12-14 21:57:47,2017-12-14 22:41:14,6556491.869991241
325,2017-12-15 09:51:38,2017-12-15 10:03:27,1023794.349170138
326,2017-12-15 15:08:54,2017-12-15 15:29:25,2347488.524755489
327,2017-12-15 16:48:11,2017-12-15 17:02:46,1747270.885270447
328,2017-12-15 17:51:48,2017-12-15 18:19:51,2000467.5360780933
329,2017-12-16 09:45:06,2017-12-16 09:58:21,1190035.960813854
330,2017-12-16 11:03:56,2017-12-16 14:15:12,13881350.272830466
331,2017-12-16 15:02:04,2017-12-16 15:21:25,2403865.0264113992
332,2017-12-16 16:05:08,2017-12-16 16:25:31,2260657.009938943
333,2017-12-16 17:46:57,2017-12-16 18:14:37,2896212.5169481146
334,2017-12-16 18:50:12,2017-12-16 19:35:34,2602276.2420863598
335,2017-12-16 20:36:27,2017-12-16 21:10:27,3976507.7195699504
336,2017-12-16 22:02:19,2017-12-16 22:12:53,950900.1231820714
337,2017-12-17 10:27:10,2017-12-17 11:25:59,2655603.4408449586
338,2017-12-17 13:47:57,2017-12-17 14:05:49,2298395.092527814
339,2017-12-17 14:36:53,2017-12-17 14:54:09,1347157.5131114253
340,2017-12-17 15:41:01,2017-12-17 16:11:07,3165322.1443241937
341,2017-12-17 17:54:11,2017-12-17 18:04:29,887798.6573140234
342,2017-12-17 19:03:37,2017-12-17 19:12:49,781572.2160726985
343,2017-12-18 06:56:08,2017-12-18 07:04:53,833148.6340971886
344,2017-12-18 07:56:44,2017-12-18 08:18:38,2059261.6816278307
345,2017-12-18 09:40:04,2017-12-18 10:12:35,1355142.3448156593
346,2017-12-18 15:22:59,2017-12-18 15:32:11,974010.3844587007
