timestamps,S1_PID_0C_EngineRPM
2019-09-27 17:22:37.339699984+01:00,1991.0
2019-09-27 17:22:37.540750027+01:00,1981.0
2019-09-27 17:22:37.739799976+01:00,1985.0
2019-09-27 17:22:37.939749956+01:00,1976.0
2019-09-27 17:22:38.139849901+01:00,1979.0
2019-09-27 17:22:38.339849949+01:00,1972.0
2019-09-27 17:22:38.539849997+01:00,1975.0
2019-09-27 17:22:38.739850044+01:00,1967.0
2019-09-27 17:22:38.939899921+01:00,1974.0
2019-09-27 17:22:39.141099930+01:00,1959.0
2019-09-27 17:22:39.339950085+01:00,1954.0
2019-09-27 17:22:39.539949894+01:00,1932.0
2019-09-27 17:22:39.739850044+01:00,1922.0
2019-09-27 17:22:39.939899921+01:00,1922.0
2019-09-27 17:22:40.139899969+01:00,1909.0
2019-09-27 17:22:40.340049982+01:00,1916.0
2019-09-27 17:22:40.540050030+01:00,1832.0
2019-09-27 17:22:40.740149975+01:00,1579.0
2019-09-27 17:22:40.940049887+01:00,1351.0
2019-09-27 17:22:41.141200066+01:00,1119.0
2019-09-27 17:22:41.340100050+01:00,1108.0
2019-09-27 17:22:41.540199995+01:00,1091.0
2019-09-27 17:22:41.740000010+01:00,1017.0
2019-09-27 17:22:41.940099955+01:00,961.0
2019-09-27 17:22:42.140049934+01:00,915.0
2019-09-27 17:22:42.340100050+01:00,884.0
2019-09-27 17:22:42.540050030+01:00,847.0
2019-09-27 17:22:42.740149975+01:00,837.0
2019-09-27 17:22:42.940150023+01:00,889.0
2019-09-27 17:22:43.140100002+01:00,883.0
2019-09-27 17:22:43.340100050+01:00,880.0
2019-09-27 17:22:43.540199995+01:00,876.0
2019-09-27 17:22:43.740149975+01:00,887.0
2019-09-27 17:22:43.940200090+01:00,895.0
2019-09-27 17:22:44.140300035+01:00,898.0
2019-09-27 17:22:44.340250015+01:00,902.0
2019-09-27 17:22:44.540299892+01:00,910.0
2019-09-27 17:22:44.740299940+01:00,916.0
2019-09-27 17:22:44.940299988+01:00,915.0
2019-09-27 17:22:45.140249968+01:00,913.0
2019-09-27 17:22:45.340349913+01:00,908.0
2019-09-27 17:22:45.540250063+01:00,904.0
2019-09-27 17:22:45.740299940+01:00,896.0
2019-09-27 17:22:45.940350056+01:00,893.0
2019-09-27 17:22:46.140549898+01:00,901.0
2019-09-27 17:22:46.340349913+01:00,910.0
2019-09-27 17:22:46.540450096+01:00,885.0
2019-09-27 17:22:46.740350008+01:00,880.0
2019-09-27 17:22:46.940449953+01:00,896.0
2019-09-27 17:22:47.140450001+01:00,892.0
2019-09-27 17:22:47.340500116+01:00,883.0
2019-09-27 17:22:47.540400028+01:00,889.0
2019-09-27 17:22:48.741750002+01:00,902.0
2019-09-27 17:22:49.541749954+01:00,904.0
2019-09-27 17:22:49.941699982+01:00,905.0
2019-09-27 17:22:50.140599966+01:00,904.0
2019-09-27 17:22:50.340749979+01:00,912.0
2019-09-27 17:22:50.540699959+01:00,910.0
2019-09-27 17:22:55.140949965+01:00,1789.0
2019-09-27 17:22:55.340950012+01:00,1969.0
2019-09-27 17:22:55.541150093+01:00,2176.0
2019-09-27 17:22:55.741050005+01:00,2368.0
2019-09-27 17:22:55.941050053+01:00,2553.0
