timestamps,S1_PID_0B_IntakeManiAbsPress
2019-09-27 17:23:21.722800016+01:00,90
2019-09-27 17:23:21.922749996+01:00,90
2019-09-27 17:23:22.122800112+01:00,80
2019-09-27 17:23:22.323050022+01:00,75
2019-09-27 17:23:22.522850037+01:00,72
2019-09-27 17:23:22.722850084+01:00,73
2019-09-27 17:23:22.922849894+01:00,74
2019-09-27 17:23:23.122900009+01:00,74
2019-09-27 17:23:23.322900057+01:00,73
2019-09-27 17:23:23.522900104+01:00,54
2019-09-27 17:23:23.722899914+01:00,40
2019-09-27 17:23:23.922899961+01:00,29
2019-09-27 17:23:24.122950077+01:00,22
2019-09-27 17:23:24.323999882+01:00,21
2019-09-27 17:23:24.522949934+01:00,21
2019-09-27 17:23:24.723200083+01:00,24
2019-09-27 17:23:24.923249960+01:00,25
2019-09-27 17:23:25.123150110+01:00,26
2019-09-27 17:23:25.323050022+01:00,32
2019-09-27 17:23:25.523050070+01:00,38
2019-09-27 17:23:25.723299980+01:00,43
2019-09-27 17:23:25.923049927+01:00,52
2019-09-27 17:23:26.123100042+01:00,51
2019-09-27 17:23:26.323349953+01:00,48
2019-09-27 17:23:26.523200035+01:00,54
2019-09-27 17:23:26.723099947+01:00,75
2019-09-27 17:23:26.923199892+01:00,82
2019-09-27 17:23:27.123150110+01:00,89
2019-09-27 17:23:27.323100090+01:00,92
2019-09-27 17:23:27.523149967+01:00,92
2019-09-27 17:23:27.723200083+01:00,92
2019-09-27 17:23:27.923199892+01:00,91
2019-09-27 17:23:28.123250008+01:00,90
2019-09-27 17:23:28.323250055+01:00,89
2019-09-27 17:23:28.523250102+01:00,88
2019-09-27 17:23:28.723249912+01:00,88
2019-09-27 17:23:28.923350096+01:00,88
2019-09-27 17:23:29.123300076+01:00,89
2019-09-27 17:23:29.323299885+01:00,88
2019-09-27 17:23:29.523299932+01:00,88
2019-09-27 17:23:29.723350048+01:00,88
2019-09-27 17:23:29.923350096+01:00,89
2019-09-27 17:23:30.123349905+01:00,88
2019-09-27 17:23:30.323649883+01:00,88
2019-09-27 17:23:30.523449897+01:00,87
2019-09-27 17:23:30.723500013+01:00,87
2019-09-27 17:23:30.923500061+01:00,87
2019-09-27 17:23:31.123549938+01:00,87
2019-09-27 17:23:31.323549986+01:00,86
2019-09-27 17:23:31.523449897+01:00,85
2019-09-27 17:23:31.723449945+01:00,86
2019-09-27 17:23:31.923449993+01:00,86
2019-09-27 17:23:32.123500109+01:00,86
2019-09-27 17:23:32.323499918+01:00,85
2019-09-27 17:23:32.523600101+01:00,85
2019-09-27 17:23:32.723550081+01:00,85
2019-09-27 17:23:32.923749924+01:00,85
2019-09-27 17:23:33.123699903+01:00,85
2019-09-27 17:23:33.323600054+01:00,83
2019-09-27 17:23:33.523600101+01:00,83
