sampno,vehno
1675346,2.0
1675955,1.0
1675955,2.0
1675955,3.0
1675955,4.0
1676165,1.0
1676165,2.0
1676640,1.0
1677164,1.0
1677164,2.0
1677353,1.0
1677353,2.0
1677353,3.0
1677353,4.0
1677353,5.0
1677353,6.0
1677679,1.0
1677679,2.0
1678120,1.0
1678391,1.0
1678391,2.0
1678391,3.0
1678884,1.0
1679006,1.0
1679716,1.0
1679716,2.0
1679716,3.0
1679840,1.0
1679956,1.0
1679956,2.0
1679956,3.0
1680072,1.0
1680072,2.0
1680527,1.0
1681919,1.0
1681919,2.0
1681919,3.0
1682085,1.0
1682085,2.0
1683160,1.0
1683160,2.0
1684086,1.0
1684086,2.0
1684737,1.0
1684737,2.0
1684737,3.0
1684737,4.0
1684737,5.0
1685868,1.0
1685868,2.0
1686291,1.0
1686291,2.0
1686737,1.0
1686737,2.0
1686972,1.0
1686972,2.0
1687394,1.0
1688122,1.0
1689782,1.0
1689890,1.0
1689985,1.0
1690032,1.0
1690616,1.0
1692673,1.0
1692673,2.0
1692684,1.0
1692954,1.0
1693126,1.0
1693126,2.0
1694090,1.0
1694098,1.0
1695387,1.0
1695387,2.0
1695748,1.0
1695748,2.0
1697306,1.0
1697306,2.0
1697306,3.0
1697306,4.0
1697997,1.0
1698726,1.0
1698726,2.0
1699613,1.0
1700020,1.0
1700020,2.0
1701153,1.0
1701153,2.0
1701898,1.0
1701898,2.0
1701898,3.0
1701898,4.0
1702357,1.0
1702357,2.0
1702357,3.0
1703097,1.0
1703097,2.0
1704062,1.0
1704062,2.0
1705115,1.0
1705452,1.0
1705452,2.0
1705810,1.0
1705837,1.0
1707161,1.0
1707161,2.0
1707161,3.0
1707263,1.0
1707263,2.0
1707483,1.0
1707483,2.0
1707867,1.0
1708135,1.0
1708135,2.0
1708135,3.0
1708422,1.0
1708422,2.0
1708422,3.0
1708422,4.0
1708832,1.0
1709932,1.0
1709932,2.0
1711267,1.0
1712099,1.0
1712099,2.0
1712621,1.0
1712621,2.0
1713004,1.0
1713581,1.0
1713581,2.0
1713693,1.0
1713856,1.0
1713856,2.0
1714627,1.0
1715593,1.0
1715651,1.0
1715651,2.0
1715651,3.0
1716315,1.0
1716315,2.0
1717684,1.0
1717684,2.0
1717684,3.0
1718896,1.0
1718896,2.0
1719722,1.0
1719722,2.0
1720161,1.0
1720161,2.0
1721456,1.0
1722680,1.0
1722680,2.0
1722964,1.0
1723531,1.0
1724448,1.0
1725752,1.0
1725752,2.0
1725795,1.0
1725795,2.0
1726019,1.0
1726019,2.0
1726869,1.0
1726869,2.0
1727949,1.0
1727949,2.0
1728102,1.0
1728513,1.0
1728513,2.0
1729827,1.0
1729827,2.0
1729827,3.0
1729827,4.0
1730162,1.0
1730162,2.0
1730162,3.0
1730344,1.0
1730344,2.0
1731454,1.0
1731679,1.0
1731679,2.0
1733085,1.0
1733085,2.0
1733243,1.0
1733865,1.0
1733865,2.0
1734917,1.0
1734917,2.0
1736065,1.0
1736065,2.0
1736152,1.0
1736357,1.0
1736357,2.0
1736357,3.0
1736357,4.0
1736357,5.0
